"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8931","Verify Device ID User Can Upload Profile Photo from My Account Screen @[115540] @device @functional","single-device","2026-02-26","passed","2026-02-26","Device_ID @regression","single-user-tests/device/device-id-my-account-and-edit.spec.js","",""
"","2285","Verify Unregisterred Email Error Message @[117373] @unauthenticated @functional","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/login.spec.js","",""
"","6210","Verify Cancel button behavior in Edit Profile details @[111394] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/provider-my-account.spec.js","",""
"","0","Verify Successful User Invitation Flow @[111777] @multi-user @functional","single-patient","2026-02-26","skipped","2026-02-26","Patient @regression","single-user-tests/patient/create-account-onboard-patient.spec.js","",""
"","10289","Verify entering text into the Last Name field in Edit profile details slide out @[114114] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/provider-edit-profile.spec.js","",""
"","5304","Verify the elements and appearance of the Before we get started form @[112494] @provider @ui","single-provider","2026-02-26","passed","2026-02-26","Provider - English @regression","single-user-tests/provider/create-account-onboard-provider.spec.js","",""
"","9612","setup patient authentication","auth-patient-two","2026-02-26","passed","2026-02-26","Patient Authentication Setup @patient2","setup/auth-patient-two.js","",""
"","1706","Verify Valid Email Format Recognition @[117366] @unauthenticated @functional","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/login.spec.js","",""
"","9582","Verify required field indicators on Edit Profile @[111266] @patient @ui","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-edit-profile.spec.js","",""
"","6368","Verify Patient View and Content Display on Account Settings Page @[111245] @patient @ui","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-my-account.spec.js","",""
"","4341","Verify entering invalid text into ""Insurance"" field functionality @[118050] @patient @functional","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-edit-profile-pt2.spec.js","",""
"","5365","Verify Redirection to Device ID Dashboard Upon Successful Login @[115407] @device @functional","single-unauthenticated","2026-02-26","passed","2026-02-26","Device_ID @regression","single-user-tests/unauthenticated/device-id-access.spec.js","",""
"","6277","Verify Change Language Link Functionality @[111249] @patient @functional","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-my-account.spec.js","",""
"","14549","Verify toggle behavior for Notification methods @[111273] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/manage-notifications.spec.js","",""
